service_request_id,requested_date,status_description,service_name,comm_name,address,longitude,latitude
26-00654806,2026-08-27,Open,WRS - Commercial Collection Services,GREENVIEW INDUSTRIAL PARK,,-114.04905866998908,51.08651820128567
26-00654137,2026-08-27,Open,WRS - Commercial Collection Services,BOWNESS,,-114.188388474722,51.08334628834888
26-00652053,2026-08-27,Open,WRS - Commercial Collection Services,PARKHILL,,-114.06553191848668,51.01819490645702
26-00655016,2026-08-27,Open,WRS - New Service - Carts,KILLARNEY/GLENGARRY,,-114.13173134426395,51.030131956517685
26-00654485,2026-08-27,Open,WRS - New Service - Carts,AMBLERIDGE,,-114.13040981769684,51.19049019340302
26-00652496,2026-08-27,Closed,WRS - Commercial Collection Services,EAST SHEPARD INDUSTRIAL,,-113.95096996432171,50.9513098380589
26-00653898,2026-08-27,Closed,WRS - New Service - Carts,LIVINGSTON,,-114.06550619776098,51.18553606435354
26-00654280,2026-08-27,Open,RSP - Home Services for Seniors Inquiry,SILVERADO,,-114.07129694074862,50.88298604108047
26-00651932,2026-08-27,Closed,WRS - Commercial Collection Services,MCKENZIE LAKE,,-113.9881871837774,50.91486638419278
26-00652396,2026-08-27,Closed,WRS - New Service - Carts,RENFREW,,-114.03916899334442,51.05965315830899
26-00653830,2026-08-27,Open,WRS - Commercial Collection Services,PARKHILL,,-114.06553191848668,51.01819490645702
26-00653475,2026-08-27,Closed,WRS - Waste - Residential,WHITEHORN,,-113.97006247520194,51.08877824664194
26-00654391,2026-08-27,Closed,WRS - Waste - Residential,ARBOUR LAKE,,-114.20766602126564,51.13260178567984
26-00655326,2026-08-27,Open,WRS - Waste - Residential,EVERGREEN,,-114.11569352503209,50.91870443401208
26-00655225,2026-08-27,Open,WRS - Waste - Residential,MAHOGANY,,-113.92463385892704,50.89594391667445
26-00653623,2026-08-27,Closed,WRS - Waste - Residential,WHITEHORN,,-113.97006247520194,51.08877824664194
26-00654688,2026-08-27,Open,WRS - Waste - Residential,TEMPLE,,-113.94676645519942,51.08879880716327
26-00655435,2026-08-27,Open,WRS - Waste - Residential,NEW BRIGHTON,,-113.94523968694338,50.92206606969667
26-00652102,2026-08-27,Closed,WRS - Waste - Residential,WEST HILLHURST,,-114.11515850909426,51.05507951426751
26-00652123,2026-08-27,Closed,WRS - Waste - Residential,INGLEWOOD,,-114.01912581291118,51.03414052413669
26-00652789,2026-08-27,Closed,WRS - Waste - Residential,MONTEREY PARK,,-113.9268336359381,51.08155699522564
26-00653294,2026-08-27,Closed,WRS - Waste - Residential,FALCONRIDGE,,-113.9453399517932,51.10334979618069
26-00654461,2026-08-27,Open,WRS - Waste - Residential,HIGHWOOD,,-114.0798911269166,51.092359423668654
26-00654835,2026-08-27,Open,WRS - Waste - Residential,BANFF TRAIL,,-114.11512839717008,51.07420696879508
26-00655091,2026-08-27,Open,WRS - Waste - Residential,CORAL SPRINGS,,-113.92694858499824,51.10334785100925
26-00655451,2026-08-27,Open,WRS - Waste - Residential,TUXEDO PARK,,-114.06104493215648,51.07421777221349
26-00655026,2026-08-27,Open,WRS - Waste - Residential,HOMESTEAD,,-113.91650032535892,51.1216297097572
26-00653013,2026-08-27,Closed,WRS - Waste - Residential,MCKENZIE LAKE,,-113.9881871837774,50.91486638419278
26-00653686,2026-08-27,Closed,WRS - Waste - Residential,WILDWOOD,,-114.15853861691733,51.0582582482502
26-00655290,2026-08-27,Open,WRS - Waste - Residential,WHITEHORN,,-113.97006247520194,51.08877824664194
26-00653467,2026-08-27,Closed,WRS - Waste - Residential,HOMESTEAD,,-113.91650032535892,51.1216297097572
26-00655037,2026-08-27,Open,WRS - Waste - Residential,WHITEHORN,,-113.97006247520194,51.08877824664194
26-00652896,2026-08-27,Closed,WRS - Waste - Residential,WOODLANDS,,-114.10615958156993,50.9411239786837
26-00654628,2026-08-27,Open,WRS - Waste - Residential,FALCONRIDGE,,-113.9453399517932,51.10334979618069
26-00655206,2026-08-27,Open,WRS - Waste - Residential,WALDEN,,-114.03261830805454,50.87040296671561
26-00654803,2026-08-27,Open,WRS - Waste - Residential,WINSTON HEIGHTS/MOUNTVIEW,,-114.04184874950612,51.0752988028074
26-00655275,2026-08-27,Open,WRS - Waste - Residential,ELBOW PARK,,-114.08380531110666,51.02134304236776
26-00654576,2026-08-27,Open,WRS - Waste - Residential,CANYON MEADOWS,,-114.0820063458848,50.94095720926748
26-00653413,2026-08-27,Open,WRS - Waste - Residential,SADDLE RIDGE,,-113.94562252266888,51.13057324276626
26-00652377,2026-08-27,Open,WRS - Waste - Residential,ERLTON,,-114.06314803616586,51.02633258165659
26-00653828,2026-08-27,Closed,WRS - Waste - Residential,RAMSAY,,-114.04253243760948,51.03641127911981
26-00651993,2026-08-27,Closed,WRS - Waste - Residential,FALCONRIDGE,,-113.9453399517932,51.10334979618069
26-00655455,2026-08-27,Open,WRS - Waste - Residential,HOMESTEAD,,-113.91650032535892,51.1216297097572
26-00654882,2026-08-27,Open,WRS - Waste - Residential,GLENDALE,,-114.15271889005814,51.03337139240085
26-00652646,2026-08-27,Closed,WRS - Waste - Residential,CORAL SPRINGS,,-113.92694858499824,51.10334785100925
26-00652147,2026-08-27,Closed,WRS - Waste - Residential,UPPER MOUNT ROYAL,,-114.08502568683475,51.02997367691996
26-00654321,2026-08-27,Open,WRS - Waste - Residential,KINGSLAND,,-114.07735883671336,50.98697675033278
26-00655495,2026-08-27,Open,WRS - Waste - Residential,SOUTHWOOD,,-114.08319427981304,50.957758808343314
26-00653848,2026-08-27,Open,WRS - Waste - Residential,MAHOGANY,,-113.92463385892704,50.89594391667445
26-00652595,2026-08-27,Closed,WRS - Waste - Residential,MISSION,,-114.06808259035856,51.033157759251445
26-00654765,2026-08-27,Open,WRS - Waste - Residential,MAHOGANY,,-113.92463385892704,50.89594391667445
26-00654086,2026-08-27,Open,Roads - Signs - Missing - Damaged,ELBOW PARK,,-114.08380531110666,51.02134304236776
26-00654890,2026-08-27,Open,Roads - Signs - Traffic and Roadmarking,HOTCHKISS,,-113.89624948761448,50.91419352023465
26-00654254,2026-08-27,Open,Roads - Signs - Missing - Damaged,WESTWINDS,,-113.97005020356406,51.10339214773552
26-00654827,2026-08-27,Open,Roads - Signs - Missing - Damaged,INGLEWOOD,,-114.01912581291118,51.03414052413669
