permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2013-1370,720 BRIDGE CR NE,Residential - New Single / Semi / Duplex,NEW: SEMI-DETACHED DWELLING,Pending Release,2013-04-04T00:00:00.000,2014-05-15T00:00:00.000,RENFREW,9.0,NE,51.05748358036926,-114.04647361237092,ESTABLISHED,CENTRE
DP2015-0900,1824 CAYUGA DR NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2015-03-11T00:00:00.000,2015-06-19T00:00:00.000,COLLINGWOOD,4.0,NW,51.09011890723067,-114.10258064222712,ESTABLISHED,NORTHWEST
DP2015-2515,921 41 ST SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2015-06-15T00:00:00.000,2015-07-24T00:00:00.000,ROSSCARROCK,8.0,SW,51.044267346277344,-114.14707672038546,ESTABLISHED,WEST
DP2015-3123,139 20 AV NE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING, 7 UNITS)",Pending Release,2015-07-24T00:00:00.000,2015-12-11T00:00:00.000,TUXEDO PARK,7.0,NE,51.07050392467477,-114.0601734264265,ESTABLISHED,CENTRE
DP2015-4781,401 21 AV NE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING, 15 UNITS)",Pending Release,2015-11-17T00:00:00.000,2016-09-28T00:00:00.000,WINSTON HEIGHTS/MOUNTVIEW,7.0,NE,51.0714148452533,-114.05594813828554,ESTABLISHED,CENTRE
DP2016-3080,1508 25 AV SW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING, 4 UNITS)",Pending Release,2016-07-27T00:00:00.000,2018-01-11T00:00:00.000,BANKVIEW,8.0,SW,51.03154106469147,-114.09657094856536,ESTABLISHED,CENTRE
DP2017-2555,112 24 AV NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2017-06-12T00:00:00.000,2017-12-15T00:00:00.000,TUXEDO PARK,7.0,NW,51.07439095088428,-114.06333761720327,ESTABLISHED,CENTRE
DP2017-4382,200 RUNDLEFIELD RD NE,Residential - Multi-Family,"NEW: RESIDENTIAL CARE (1 BUILDING, 45 UNITS), ACCESSORY RESIDENTIAL BUILDING (GAZEBO)",Pending Release,2017-09-26T00:00:00.000,2017-11-30T00:00:00.000,RUNDLE,10.0,NE,51.0677375545031,-113.96353907633866,ESTABLISHED,NORTHEAST
DP2017-5569,1915 8 AV SE,Residential - Secondary Suite,NEW: BACKYARD SUITE (GARAGE),In Advertising,2017-12-04T00:00:00.000,2019-11-04T00:00:00.000,INGLEWOOD,9.0,SE,51.03573597271112,-114.01839452851166,ESTABLISHED,CENTRE
DP2017-5583,2140 51 AV SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2017-12-06T00:00:00.000,2018-01-11T00:00:00.000,NORTH GLENMORE PARK,11.0,SW,51.00783434899917,-114.1114350333382,ESTABLISHED,WEST
DP2018-0350,801 MCDOUGALL RD NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Pending Release,2018-01-26T00:00:00.000,2018-07-05T00:00:00.000,BRIDGELAND/RIVERSIDE,9.0,NE,51.05069055672847,-114.04508696363524,ESTABLISHED,CENTRE
DP2018-1065,1104 40 ST SW,Residential - Multi-Family - Minor and Rowhouses,"NEW: ROWHOUSE BUILDING (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2018-03-16T00:00:00.000,2018-08-23T00:00:00.000,ROSSCARROCK,8.0,SW,51.043132367303954,-114.1452992357753,ESTABLISHED,WEST
DP2018-1195,2035 41 AV SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2018-03-23T00:00:00.000,2018-05-03T00:00:00.000,ALTADORE,8.0,SW,51.01683700874578,-114.1082991908494,ESTABLISHED,CENTRE
DP2018-1972,2617 12 AV SE,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2018-04-26T00:00:00.000,2018-08-24T00:00:00.000,ALBERT PARK/RADISSON HEIGHTS,9.0,SE,51.04186073553395,-113.9992038641604,ESTABLISHED,EAST
DP2018-2363,2636 29 ST SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2018-05-16T00:00:00.000,2018-10-26T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.03031821013428,-114.1293755080903,ESTABLISHED,CENTRE
DP2018-4257,408 OAKHILL PL SW,Residential - Contextual Dwelling,NEW: CONTEXTUAL SINGLE DETACHED DWELLING,Under Review,2018-09-06T00:00:00.000,,OAKRIDGE,11.0,SW,50.96654653658484,-114.12176282640328,ESTABLISHED,SOUTH
DP2018-5932,16 EVANSCREST PA NW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (10 BUILDINGS),Pending Release,2018-12-20T00:00:00.000,2019-04-29T00:00:00.000,EVANSTON,2.0,NW,51.18075142998119,-114.10657146512143,COMPLETE,NORTH
DP2018-5946,200 NINA GD NE,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Pending Release,2018-12-21T00:00:00.000,2019-05-30T00:00:00.000,BRIDGELAND/RIVERSIDE,9.0,NE,51.05024782048803,-114.03360780397745,ESTABLISHED,CENTRE
DP2019-0284,2250 17A ST SW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (4 BUILDINGS),Pending Release,2019-01-18T00:00:00.000,2019-09-04T00:00:00.000,BANKVIEW,8.0,SW,51.034,-114.103,ESTABLISHED,CENTRE
DP2019-0362,1736 28 AV SW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Pending Release,2019-01-24T00:00:00.000,2019-07-16T00:00:00.000,SOUTH CALGARY,8.0,SW,51.02871045604497,-114.10177638540364,ESTABLISHED,CENTRE
DP2019-0470,590 23 ST NW,Residential - Multi-Family,"NEW: ROWHOUSE BUILDING (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE) - PARCEL COVERAGE, FRONT SETBACK",Pending Release,2019-01-30T00:00:00.000,2019-06-17T00:00:00.000,WEST HILLHURST,7.0,NW,51.05682129961579,-114.1152085819989,ESTABLISHED,CENTRE
DP2019-0643,136 DOVER MEADOW CL SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),New,2019-02-11T00:00:00.000,,DOVER,9.0,SE,51.02181260331776,-113.97896199387698,ESTABLISHED,EAST
DP2019-0680,1116 5 AV NW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING),Pending Release,2019-02-12T00:00:00.000,2019-06-20T00:00:00.000,HILLHURST,7.0,NW,51.0572150731734,-114.0875231586886,ESTABLISHED,CENTRE
DP2019-1088,2231 32 AV SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-03-07T00:00:00.000,2019-04-12T00:00:00.000,RICHMOND,8.0,SW,51.02478273977888,-114.11367258162107,ESTABLISHED,CENTRE
DP2019-1492,2318 15 ST SW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS),Hold,2019-03-29T00:00:00.000,,BANKVIEW,8.0,SW,51.033666822168975,-114.0969567761328,ESTABLISHED,CENTRE
DP2019-2234,109 CORAL SPRINGS CL NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),Pending Decision,2019-05-07T00:00:00.000,,CORAL SPRINGS,10.0,NE,51.106926129864405,-113.93040941644612,ESTABLISHED,NORTHEAST
DP2019-2266,2276 50 AV SW,Residential - Multi-Family - Minor and Rowhouses,"NEW: ROWHOUSE BUILDING (1 BUILDING), SECONDARY SUITES, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-05-08T00:00:00.000,2019-08-21T00:00:00.000,ALTADORE,8.0,SW,51.00883919991132,-114.11447717077928,ESTABLISHED,CENTRE
DP2019-2348,118 CITYSIDE RD NE,Residential - Multi-Family - Minor and Rowhouses,"NEW: ROWHOUSE BUILDING (6 BUILDINGS, 31 UNITS)",Pending Release,2019-05-13T00:00:00.000,2019-07-31T00:00:00.000,CITYSCAPE,5.0,NE,51.1466524137408,-113.96497252348414,DEVELOPING,NORTHEAST
DP2019-2424,2929 LINDSTROM DR SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2019-05-15T00:00:00.000,2019-10-07T00:00:00.000,LAKEVIEW,11.0,SW,50.99278710902708,-114.1250903103878,ESTABLISHED,WEST
DP2019-2528,201 6 ST NW,Residential - Multi-Family - Minor and Rowhouses,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-05-22T00:00:00.000,2019-09-30T00:00:00.000,SUNNYSIDE,7.0,NW,51.05771097026901,-114.07739581657192,ESTABLISHED,CENTRE
DP2019-2649,2212 33 ST SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",New,2019-05-28T00:00:00.000,,KILLARNEY/GLENGARRY,8.0,SW,51.03424001568322,-114.13530835885037,ESTABLISHED,CENTRE
DP2019-2777,2519 18 ST NW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING (NORTH PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-06-01T00:00:00.000,2019-06-25T00:00:00.000,CAPITOL HILL,7.0,NW,51.07503046293009,-114.1051192929242,ESTABLISHED,CENTRE
DP2019-2946,735 27 AV NW,Residential - Contextual Dwelling,NEW: SINGLE DETACHED DWELLING,Under Review,2019-06-09T00:00:00.000,,MOUNT PLEASANT,7.0,NW,51.07679917210595,-114.07952056547468,ESTABLISHED,CENTRE
DP2019-3040,1936 10 ST SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2019-06-13T00:00:00.000,2019-10-21T00:00:00.000,UPPER MOUNT ROYAL,8.0,SW,51.034996268874856,-114.08684255552188,ESTABLISHED,CENTRE
DP2019-3106,5547 DALWOOD WY NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (REAR ATTACHED - EXISTING),In Advertising,2019-06-17T00:00:00.000,2019-10-24T00:00:00.000,DALHOUSIE,4.0,NW,51.11352833160651,-114.16295872649962,ESTABLISHED,NORTHWEST
DP2019-3179,107 SADDLEBROOK CI NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING - BASEMENT),In Advertising,2019-06-20T00:00:00.000,2019-10-22T00:00:00.000,SADDLE RIDGE,5.0,NE,51.13398454163545,-113.92714077052028,DEVELOPING,NORTHEAST
DP2019-3199,445 BISHOP DR SW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (8 BUILDINGS, 2 PHASES)",Pending Release,2019-06-21T00:00:00.000,2020-08-18T00:00:00.000,CURRIE BARRACKS,8.0,SW,51.01504679540523,-114.1273658436717,ESTABLISHED,WEST
DP2019-3196,716 CANTRELL PL SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING-BASEMENT),In Advertising,2019-06-21T00:00:00.000,2019-10-22T00:00:00.000,CANYON MEADOWS,13.0,SW,50.93441964256359,-114.07334640285598,ESTABLISHED,SOUTH
DP2019-3414,2220 6 AV NW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING (EAST PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-07-04T00:00:00.000,2019-09-17T00:00:00.000,WEST HILLHURST,7.0,NW,51.058295181840776,-114.11159455833064,ESTABLISHED,CENTRE
DP2019-3413,2220 6 AV NW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING (WEST PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-07-04T00:00:00.000,2019-09-17T00:00:00.000,WEST HILLHURST,7.0,NW,51.058295181840776,-114.11159455833064,ESTABLISHED,CENTRE
DP2019-3400,2024 58 AV SW,Residential - Additions 10 sq metres and under,"ADDITION: SINGLE DETACHED DWELLING (MAIN FLOOR EAST, SOUTH, AND WEST ELEVATIONS, AND NEW ROOF)",In Advertising,2019-07-04T00:00:00.000,2019-11-07T00:00:00.000,NORTH GLENMORE PARK,11.0,SW,51.00151283693423,-114.10802039361728,ESTABLISHED,WEST
DP2019-3434,1301 18 AV NW,Residential - Multi-Family - Minor and Rowhouses,"NEW: ROWHOUSE BUILDING (1 BUILDING, 4 UNITS), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-07-05T00:00:00.000,2019-11-15T00:00:00.000,CAPITOL HILL,7.0,NW,51.068628897706624,-114.0900470004066,ESTABLISHED,CENTRE
DP2019-3528,5040 MARLBOROUGH DR NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING - BASEMENT),Hold,2019-07-11T00:00:00.000,,MARLBOROUGH,10.0,NE,51.05954563414232,-113.96257670557446,ESTABLISHED,NORTHEAST
DP2019-3647,6111 BELVEDERE RD SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,In Advertising,2019-07-17T00:00:00.000,2019-10-28T00:00:00.000,BEL-AIRE,11.0,SW,50.99941252732859,-114.09017545640268,ESTABLISHED,CENTRE
DP2019-3654,630 56 AV SW,Residential - Multi-Family,"NEW: FOURPLEX DWELLINGS (1 BUILDING), ACCESSORY BUILDINGS (GARAGE)",Pending Release,2019-07-18T00:00:00.000,2019-10-10T00:00:00.000,WINDSOR PARK,11.0,SW,51.00347531472879,-114.0783197536678,ESTABLISHED,CENTRE
DP2019-3702,237 MARTINGLEN WY NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),Pending Release,2019-07-19T00:00:00.000,2019-11-13T00:00:00.000,MARTINDALE,5.0,NE,51.11270719475666,-113.96916788687852,ESTABLISHED,NORTHEAST
DP2019-3694,92 EDGEBURN CR NW,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (SOUTH ELEVATION); BALCONY - PROJECTION INTO SIDE SETBACK, PROJECTION DEPTH",Under Review,2019-07-19T00:00:00.000,,EDGEMONT,4.0,NW,51.13558444963998,-114.15952066809702,ESTABLISHED,NORTHWEST
DP2019-3785,524 36 ST SW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING (SOUTH PARCEL), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-07-24T00:00:00.000,2019-09-12T00:00:00.000,SPRUCE CLIFF,8.0,SW,51.0480903628217,-114.13955776858036,ESTABLISHED,WEST
DP2019-3784,6524 BOW CR NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2019-07-24T00:00:00.000,2019-09-27T00:00:00.000,BOWNESS,1.0,NW,51.08776649560084,-114.18179627759368,ESTABLISHED,NORTHWEST
DP2019-3848,3701 5 ST SW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2019-07-26T00:00:00.000,2019-10-01T00:00:00.000,ELBOW PARK,11.0,SW,51.021493851163264,-114.0765891308566,ESTABLISHED,CENTRE
DP2019-3831,4401 26 AV SE,Residential - Secondary Suite,"NEW: BACKYARD SUITE (ABOVE GARAGE), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Advertising,2019-07-26T00:00:00.000,2019-11-01T00:00:00.000,DOVER,9.0,SE,51.03039082039968,-113.97141297465252,ESTABLISHED,EAST
DP2019-3829,276 MADDOCK WY NE,Residential - Secondary Suite,NEW: BACKYARD SUITE (ABOVE EXISTING GARAGE),Hold,2019-07-26T00:00:00.000,,MARLBOROUGH PARK,10.0,NE,51.055459328448656,-113.94735246346596,ESTABLISHED,NORTHEAST
DP2019-3857,728 SABRINA RD SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-07-28T00:00:00.000,2019-11-04T00:00:00.000,SOUTHWOOD,11.0,SW,50.95718412182233,-114.08010976123757,ESTABLISHED,SOUTH
DP2019-3897,316 REDSTONE AV NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2019-07-29T00:00:00.000,2019-11-04T00:00:00.000,REDSTONE,5.0,NE,51.17309506938448,-113.95196798312864,DEVELOPING,NORTHEAST
DP2019-3866,5215 8 AV SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),Pending Release,2019-07-29T00:00:00.000,2019-10-17T00:00:00.000,WESTGATE,6.0,SW,51.04505735660438,-114.1609522528018,ESTABLISHED,WEST
DP2019-3912,244 21 AV NW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING (WEST LOT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-07-30T00:00:00.000,2019-09-12T00:00:00.000,TUXEDO PARK,7.0,NW,51.07164265582051,-114.06662580030591,ESTABLISHED,CENTRE
DP2019-3911,244 21 AV NW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SINGLE DETACHED DWELLING (EAST LOT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-07-30T00:00:00.000,2019-09-12T00:00:00.000,TUXEDO PARK,7.0,NW,51.07164265582051,-114.06662580030591,ESTABLISHED,CENTRE
DP2019-3993,822 5 AV NE,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING, SECONDARY SUITE (BASEMENT)",Pending Release,2019-08-02T00:00:00.000,2019-10-21T00:00:00.000,BRIDGELAND/RIVERSIDE,9.0,NE,51.05723393614222,-114.04384383624704,ESTABLISHED,CENTRE
DP2019-4001,3931 26 AV NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING - BASEMENT),Pending Release,2019-08-05T00:00:00.000,2019-10-17T00:00:00.000,RUNDLE,10.0,NE,51.07775758151252,-113.97634156434272,ESTABLISHED,NORTHEAST
DP2019-4020,15242 PRESTWICK BV SE,Residential - Secondary Suite,NEW: DWELLING UNIT (ACCESSORY SUITE - EXISTING BASEMENT) - PARCEL COVERAGE; PARKING STALL SIZE,In Advertising,2019-08-06T00:00:00.000,2019-11-04T00:00:00.000,MCKENZIE TOWNE,12.0,SE,50.91796251815859,-113.9647607553944,ESTABLISHED,SOUTHEAST
DP2019-4010,1107 MAGGIE ST SE,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,In Advertising,2019-08-06T00:00:00.000,2019-10-28T00:00:00.000,RAMSAY,9.0,SE,51.03962800326173,-114.042629713412,ESTABLISHED,CENTRE
DP2019-4104,3443 62 AV SW,Residential - Contextual Dwelling,NEW: CONTEXTUAL SINGLE DETACHED DWELLING,Under Review,2019-08-10T00:00:00.000,,LAKEVIEW,11.0,SW,50.996925459063874,-114.13540723215364,ESTABLISHED,WEST
DP2019-4129,106 TARAVISTA CO NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-08-12T00:00:00.000,2019-10-25T00:00:00.000,TARADALE,5.0,NE,51.11483028882758,-113.93039083195951,ESTABLISHED,NORTHEAST
DP2019-4120,1110 17 AV NW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING, BACKYARD SUITE (ABOVE GARAGE)",In Advertising,2019-08-12T00:00:00.000,2019-10-28T00:00:00.000,CAPITOL HILL,7.0,NW,51.0679743498667,-114.08553259176765,ESTABLISHED,CENTRE
DP2019-4154,936 5 AV NE,Residential - Secondary Suite,"NEW: BACKYARD SUITE (ABOVE GARAGE), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",In Advertising,2019-08-14T00:00:00.000,2019-10-28T00:00:00.000,BRIDGELAND/RIVERSIDE,9.0,NE,51.057229283592825,-114.0409319978671,ESTABLISHED,CENTRE
DP2019-4199,3018 28 ST SW,Residential - New Single / Semi / Duplex,"NEW: SINGLE DETACHED DWELLING, RESIDENTIAL, ACCESSORY BUILDING (GARAGE)",In Advertising,2019-08-15T00:00:00.000,2019-11-07T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.02783092753194,-114.12790935351909,ESTABLISHED,CENTRE
DP2019-4188,43 SAN DIEGO MR NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),Pending Decision,2019-08-15T00:00:00.000,,MONTEREY PARK,10.0,NE,51.09406296529748,-113.92925131448447,ESTABLISHED,NORTHEAST
DP2019-4232,10463 ROCKYLEDGE ST NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),Pending Release,2019-08-17T00:00:00.000,2019-11-13T00:00:00.000,ROCKY RIDGE,1.0,NW,51.14604632525387,-114.25413169211072,ESTABLISHED,NORTHWEST
DP2019-4268,87 COVEHAVEN TC NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-08-20T00:00:00.000,2019-10-24T00:00:00.000,COVENTRY HILLS,3.0,NE,51.16549308038287,-114.06734135346484,ESTABLISHED,NORTH
DP2019-4267,140 BELMONT TC SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2019-08-20T00:00:00.000,2019-10-25T00:00:00.000,BELMONT,13.0,SE,50.86715970596944,-114.0662778922365,DEVELOPING,SOUTH
DP2019-4283,7025 CALIFORNIA BV NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-08-21T00:00:00.000,2019-10-25T00:00:00.000,MONTEREY PARK,10.0,NE,51.07086842365063,-113.93140901870588,ESTABLISHED,NORTHEAST
DP2019-4281,3543 33 ST SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-08-21T00:00:00.000,2019-10-25T00:00:00.000,DOVER,9.0,SE,51.02181477447123,-113.98556742249838,ESTABLISHED,EAST
DP2019-4343,391 PATTERSON BV SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2019-08-23T00:00:00.000,2019-11-04T00:00:00.000,PATTERSON,6.0,SW,51.07147558450085,-114.18733357145854,ESTABLISHED,WEST
DP2019-4338,1601 40 ST SW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-08-23T00:00:00.000,2019-11-08T00:00:00.000,ROSSCARROCK,8.0,SW,51.03952876792483,-114.1456582858967,ESTABLISHED,WEST
DP2019-4366,1090 TARADALE DR NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-08-26T00:00:00.000,2019-10-22T00:00:00.000,TARADALE,5.0,NE,51.122192004611925,-113.9308586127526,ESTABLISHED,NORTHEAST
DP2019-4365,114 SILVERADO SKIES DR SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),Pending Release,2019-08-26T00:00:00.000,2019-11-13T00:00:00.000,SILVERADO,13.0,SW,50.8885564215466,-114.08449678642376,DEVELOPING,SOUTH
DP2019-4402,1008 BEL-AIRE DR SW,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (SECOND FLOOR, INCREASING WALL HEIGHTS, NEW ROOF, NEW CHIMNEY), EXTERIOR RENOVATION: SINGLE DETACHED DWELLING",In Advertising,2019-08-27T00:00:00.000,2019-10-28T00:00:00.000,BEL-AIRE,11.0,SW,50.99991951854285,-114.08388459981674,ESTABLISHED,CENTRE
DP2019-4395,7 EVANSPARK HT NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2019-08-27T00:00:00.000,2019-10-31T00:00:00.000,EVANSTON,2.0,NW,51.17262771456327,-114.1149474799691,COMPLETE,NORTH
DP2019-4390,201 HAMPTONS GV NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-08-27T00:00:00.000,2019-10-22T00:00:00.000,HAMPTONS,2.0,NW,51.143829671520194,-114.15646392597566,ESTABLISHED,NORTHWEST
DP2019-4382,2903 13 AV NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (BASEMENT),In Advertising,2019-08-27T00:00:00.000,2019-11-07T00:00:00.000,ST. ANDREWS HEIGHTS,7.0,NW,51.06368136255516,-114.12698069668252,ESTABLISHED,CENTRE
DP2019-4441,71 MARTINVIEW CR NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING - BASEMENT),In Advertising,2019-08-28T00:00:00.000,2019-10-23T00:00:00.000,MARTINDALE,5.0,NE,51.11126442195521,-113.95976000516166,ESTABLISHED,NORTHEAST
DP2019-4430,212 DEER RIDGE WY SE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT) - ONE PARKING STALL,Pending Decision,2019-08-28T00:00:00.000,,DEER RIDGE,14.0,SE,50.926822684014766,-114.02277452370828,ESTABLISHED,SOUTH
DP2019-4429,11151 SOUTHDALE RD SW,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING BASEMENT),In Advertising,2019-08-28T00:00:00.000,2019-10-22T00:00:00.000,SOUTHWOOD,11.0,SW,50.952794026171226,-114.0895989618469,ESTABLISHED,SOUTH
DP2019-4426,251 SILVERCREEK DR NW,Residential - Additions over 10 sq metres,"ADDITION: SINGLE DETACHED DWELLING (COVERED PORCH, LOFT OVER GARAGE)",In Advertising,2019-08-28T00:00:00.000,2019-11-08T00:00:00.000,SILVER SPRINGS,1.0,NW,51.11096314202492,-114.2045218571522,ESTABLISHED,NORTHWEST
DP2019-4421,3204 KERRYDALE RD SW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, ACCESSORY BUILDING (GARAGE)",Pending Release,2019-08-28T00:00:00.000,2019-10-18T00:00:00.000,KILLARNEY/GLENGARRY,8.0,SW,51.02462365412348,-114.13947167422548,ESTABLISHED,CENTRE
DP2019-4493,1418 42 ST SW,Residential - Contextual Dwelling,"NEW: CONTEXTUAL SEMI-DETACHED DWELLING, ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2019-08-30T00:00:00.000,2019-11-13T00:00:00.000,ROSSCARROCK,8.0,SW,51.04081061273849,-114.14816388027482,ESTABLISHED,WEST
DP2019-4495,6327 TRAVOIS CR NW,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING - BASEMENT),In Advertising,2019-09-03T00:00:00.000,2019-10-24T00:00:00.000,THORNCLIFFE,4.0,NW,51.109098655286274,-114.06403671748669,ESTABLISHED,NORTH
DP2019-4547,6372 PINERIDGE RD NE,Residential - Secondary Suite,NEW: SECONDARY SUITE (EXISTING - BASEMENT),In Advertising,2019-09-04T00:00:00.000,2019-10-22T00:00:00.000,PINERIDGE,10.0,NE,51.071800426768704,-113.93986063599792,ESTABLISHED,NORTHEAST
