permitnum,address,category,description,statuscurrent,applieddate,decisiondate,communityname,ward,quadrant,latitude,longitude,srg,sector
DP2024-04115,2226 24A ST SW,Residential - Multi-Family,NEW: MULTI-RESIDENTIAL DEVELOPMENT (2 BUILDINGS),Hold,2024-06-07T00:00:00.000,,RICHMOND,8.0,SW,51.034,-114.119,ESTABLISHED,CENTRE
DP2024-04149,311 19 AV SW,Residential - Multi-Family,REVISION: APARTMENT BUILDING (INCREASE TO DWELLING UNITS),Pending Release,2024-06-09T00:00:00.000,2024-10-04T00:00:00.000,MISSION,8.0,SW,51.036,-114.069,ESTABLISHED,CENTRE
DP2024-04215,8532 46 AV NW,Residential - Multi-Family,"NEW: TOWNHOUSE BUILDING (1 BUILDING), SECONDARY SUITE (4 SUITES), ACCESSORY RESIDENTIAL BUILDING (CARPORT)",Pending Release,2024-06-10T00:00:00.000,2025-02-11T00:00:00.000,BOWNESS,1.0,NW,51.094,-114.21,ESTABLISHED,NORTHWEST
DP2024-04563,3720 19 AV SE,Residential - Multi-Family,"NEW: DWELLING UNIT, RETAIL AND CONSUMER SERVICE (1 BUILDING )",Pending Release,2024-06-21T00:00:00.000,2025-12-16T00:00:00.000,FOREST LAWN,9.0,SE,51.036,-113.981,ESTABLISHED,EAST
DP2024-04813,1514 10 AV SE,Residential - Multi-Family,"NEW: DWELLING UNITS (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (DWELLING UNITS & GARAGE) RELAXATIONS: (BUILDING SETBACK, BUILDING HEIGHT, BUILDING DEPTH, BALCONIES)",Pending Release,2024-07-01T00:00:00.000,2025-01-27T00:00:00.000,INGLEWOOD,9.0,SE,51.038,-114.029,ESTABLISHED,CENTRE
DP2024-04849,2708 1 AV NW,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (2, BASEMENT OF EACH UNIT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2024-07-02T00:00:00.000,2024-10-07T00:00:00.000,WEST HILLHURST,7.0,NW,51.054,-114.123,ESTABLISHED,CENTRE
DP2024-04836,30 ROCHESTER VW NW,Residential - Multi-Family,"NEW: MULTI-RESIDENTIAL DEVELOPMENT (15 BUILDINGS, 17 PHASES)",Pending Release,2024-07-02T00:00:00.000,2025-02-28T00:00:00.000,HASKAYNE,1.0,NW,51.109,-114.269,DEVELOPING,NORTHWEST
DP2024-04931,132 44 AV NE,Residential - New Single / Semi / Duplex,"NEW: SEMI-DETACHED DWELLING, SECONDARY SUITE (BASEMENT - 2)",Pending Release,2024-07-04T00:00:00.000,2025-11-28T00:00:00.000,HIGHLAND PARK,4.0,NE,51.092,-114.061,ESTABLISHED,CENTRE
DP2024-04973,211 99 AV SE,Residential - Multi-Family,"NEW: DWELLING UNIT (2 BUILDINGS), SECONDARY SUITES (6 SUITES)",Pending Release,2024-07-05T00:00:00.000,2026-04-23T00:00:00.000,WILLOW PARK,11.0,SE,50.961,-114.069,ESTABLISHED,SOUTH
DP2024-05021,2407 JUNIPER RD NW,Residential - New Single / Semi / Duplex,NEW: SINGLE DETACHED DWELLING,Pending Release,2024-07-08T00:00:00.000,2024-12-16T00:00:00.000,WEST HILLHURST,7.0,NW,51.062,-114.116,ESTABLISHED,CENTRE
DP2024-05058,2624 GRANVILLE ST SW,Residential - New Single / Semi / Duplex,"NEW: DWELLING UNITS (1 BUILDING), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2024-07-09T00:00:00.000,2024-11-13T00:00:00.000,GLENDALE,6.0,SW,51.031,-114.149,ESTABLISHED,WEST
DP2024-05097,1710 31 ST SW,Residential - Multi-Family,"NEW: SEMI-DETACHED DWELLING (2 BUILDINGS), SECONDARY SUITE (BASEMENT), ACCESSORY RESIDENTIAL BUILDING (GARAGE)",Pending Release,2024-07-10T00:00:00.000,2025-01-16T00:00:00.000,SHAGANAPPI,8.0,SW,51.039,-114.132,ESTABLISHED,CENTRE
