timestamp,pool_price_cad_per_mwh,ail_mw,wind_mw
2024-01-01 00:00:00,23.05,9809,2844.0755402000004
2024-01-01 01:00:00,22.67,9702,2856.8597744
2024-01-01 02:00:00,24.07,9560,2478.6484876
2024-01-01 03:00:00,24.33,9547,2354.2020803
2024-01-01 04:00:00,24.7,9511,2241.4768391999996
2024-01-01 05:00:00,26.86,9542,2062.3306552
2024-01-01 06:00:00,30.42,9659,2030.7598004999998
2024-01-01 07:00:00,27.32,9785,2051.5812905
2024-01-01 08:00:00,37.66,9914,1859.8587080999998
2024-01-01 09:00:00,39.17,9988,1666.0301542999998
2024-01-01 10:00:00,36.83,10069,1531.3488305
2024-01-01 11:00:00,37.5,10160,1381.2110598999998
2024-01-01 12:00:00,37.92,10206,1171.8692530000005
2024-01-01 13:00:00,37.09,10235,1188.5437193000002
2024-01-01 14:00:00,27.43,10262,1239.9259287
2024-01-01 15:00:00,27.59,10384,1257.9338405999997
2024-01-01 16:00:00,37.64,10696,1197.1797719
2024-01-01 17:00:00,42.24,10973,1133.3052708
2024-01-01 18:00:00,42.25,10811,1043.1908852
2024-01-01 19:00:00,43.75,10707,1079.3626585
2024-01-01 20:00:00,44.49,10627,1136.3404608000003
2024-01-01 21:00:00,45.35,10470,1121.0648917
2024-01-01 22:00:00,51.25,10197,1141.5170946000005
2024-01-01 23:00:00,40.71,9965,1226.1063959
2024-01-02 00:00:00,40.66,9804,1268.2040937
2024-01-02 01:00:00,37.96,9735,1408.4538814999999
2024-01-02 02:00:00,34.87,9675,1424.0378181999997
2024-01-02 03:00:00,37.31,9706,1403.5736643
2024-01-02 04:00:00,40.78,9752,1278.7693661999997
2024-01-02 05:00:00,44.11,9930,1190.4086582
2024-01-02 06:00:00,62.65,10303,1030.6344540999999
2024-01-02 07:00:00,44.07,10692,957.7550463999999
2024-01-02 08:00:00,53.44,10917,890.4546684000002
2024-01-02 09:00:00,48.45,10966,811.5491341999999
2024-01-02 10:00:00,44.22,11035,721.2851952
2024-01-02 11:00:00,45.16,11070,566.5078204000001
2024-01-02 12:00:00,43.4,11077,718.7546587000002
2024-01-02 13:00:00,42.57,11076,648.0959804
2024-01-02 14:00:00,68.56,11044,513.2050925
2024-01-02 15:00:00,123.34,11087,407.64419530000004
2024-01-02 16:00:00,376.28,11189,213.03496349999998
2024-01-02 17:00:00,325.97,11356,322.3329062
2024-01-02 18:00:00,115.2,11179,420.2887088
2024-01-02 19:00:00,45.19,11100,527.0279288
2024-01-02 20:00:00,45.75,11079,578.2230999999999
2024-01-02 21:00:00,61.61,10927,565.4476
2024-01-02 22:00:00,100.0,10662,585.0823
2024-01-02 23:00:00,154.37,10389,574.647
2024-01-03 00:00:00,83.48,10181,560.3036000000001
2024-01-03 01:00:00,85.18,10109,555.0068
2024-01-03 02:00:00,68.23,10046,546.2134
2024-01-03 03:00:00,65.73,10043,473.45958129999997
2024-01-03 04:00:00,91.87,10075,403.9223091
2024-01-03 05:00:00,176.24,10168,449.23483990000005
2024-01-03 06:00:00,100.11,10488,555.6007850999999
2024-01-03 07:00:00,51.08,10831,696.7376051
2024-01-03 08:00:00,83.08,11100,701.7010640999999
2024-01-03 09:00:00,65.0,11134,710.9310300999998
2024-01-03 10:00:00,76.0,11195,723.0407896
2024-01-03 11:00:00,80.31,11238,771.2997038
2024-01-03 12:00:00,47.09,11270,910.4667311
2024-01-03 13:00:00,40.91,11251,1017.6978447000001
2024-01-03 14:00:00,32.51,11254,1225.1070339
2024-01-03 15:00:00,54.35,11275,1216.6964695999998
2024-01-03 16:00:00,54.92,11431,1366.6072794000002
2024-01-03 17:00:00,52.54,11588,1472.2324589000004
2024-01-03 18:00:00,38.04,11403,1658.7916734
2024-01-03 19:00:00,32.48,11303,1971.3554440000003
2024-01-03 20:00:00,33.09,11139,2082.3403629000004
2024-01-03 21:00:00,39.93,10940,2071.7292432
2024-01-03 22:00:00,39.98,10638,2014.3693223000002
2024-01-03 23:00:00,39.12,10343,1939.2343043
2024-01-04 00:00:00,39.61,10165,1875.7892431999999
2024-01-04 01:00:00,39.98,10039,1740.6936933000002
2024-01-04 02:00:00,28.76,9957,1687.8870478999997
2024-01-04 03:00:00,26.87,9947,1606.6155446999999
2024-01-04 04:00:00,31.93,9995,1409.4063922000003
2024-01-04 05:00:00,40.84,10120,1251.2215157
2024-01-04 06:00:00,60.75,10418,1170.6082511999998
2024-01-04 07:00:00,51.38,10857,1090.3218534000002
2024-01-04 08:00:00,53.81,11099,1033.1864082
2024-01-04 09:00:00,50.4,11174,974.7754535999999
2024-01-04 10:00:00,46.13,11208,994.4545819
2024-01-04 11:00:00,38.93,11237,1066.0767731
2024-01-04 12:00:00,39.23,11278,1169.0889379
2024-01-04 13:00:00,39.21,11273,1294.8844679
2024-01-04 14:00:00,35.95,11254,1464.4567917
2024-01-04 15:00:00,40.53,11286,1638.2378221
2024-01-04 16:00:00,53.89,11382,1952.0501396999998
2024-01-04 17:00:00,54.03,11556,2225.2143788999997
2024-01-04 18:00:00,40.63,11415,2623.9824094000005
2024-01-04 19:00:00,34.11,11350,2845.8153153999997
2024-01-04 20:00:00,30.79,11193,2860.8593358999997
2024-01-04 21:00:00,32.21,10994,2702.2630852
2024-01-04 22:00:00,34.88,10736,2415.6979153
2024-01-04 23:00:00,33.25,10439,2391.1950991000003
2024-01-05 00:00:00,30.53,10225,2475.2547375999998
2024-01-05 01:00:00,30.39,10119,2649.5979457000003
2024-01-05 02:00:00,28.74,10043,2701.4588306999995
2024-01-05 03:00:00,28.7,10039,2653.581688
2024-01-05 04:00:00,31.31,10026,2418.1792816
2024-01-05 05:00:00,66.22,10164,1933.9864778999997
2024-01-05 06:00:00,212.73,10453,1445.3864589
2024-01-05 07:00:00,257.92,10758,1052.4008296
2024-01-05 08:00:00,75.25,10939,1083.4157250000003
2024-01-05 09:00:00,89.11,11013,971.7900502999997
2024-01-05 10:00:00,51.32,11045,926.5611762
2024-01-05 11:00:00,53.09,11076,1082.4956909000002
2024-01-05 12:00:00,51.22,11072,1104.2657554
2024-01-05 13:00:00,49.85,11076,1216.2647510000002
2024-01-05 14:00:00,47.16,11069,1229.5888469000001
2024-01-05 15:00:00,49.55,11151,1335.5186705999995
2024-01-05 16:00:00,101.54,11339,1506.6085432000002
2024-01-05 17:00:00,111.08,11412,1731.1312087000006
2024-01-05 18:00:00,39.74,11282,2093.387661
2024-01-05 19:00:00,31.91,11208,2689.2706729999995
2024-01-05 20:00:00,35.87,11113,2937.6113995
