YEAR,FIRE_NUMBER,FIRE_NAME,CURRENT_SIZE,SIZE_CLASS,LATITUDE,LONGITUDE,GENERAL_CAUSE,FIRE_START_DATE,DISPATCHED_RESOURCE,ASSESSMENT_HECTARES,FIRE_SPREAD_RATE,FIRE_TYPE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_SPEED,FUEL_TYPE,INITIAL_ACTION_BY
2023,EWF069,,1.0,B,53.805167,-116.722967,Power Line Industry,2023-06-10 12:39,HAC,0.3,2.0,Surface,29.0,42.0,0.0,C2,HAC
2023,SWF048,,0.9,B,55.953217,-113.91905,Undetermined,2023-04-30 12:50,HAC,0.3,9.0,Surface,30.0,17.0,6.0,O1a,HAC
2023,SWF049,,0.82,B,55.905767,-113.8551,Undetermined,2023-04-30 16:51,HAC,0.4,9.0,Surface,22.0,25.0,6.0,O1a,HAC
2023,HWF144,,0.81,B,58.314967,-115.282367,Lightning,2023-07-23 18:00,HAC,0.3,1.0,Surface,22.0,48.0,15.0,M2,FPD Staff
2023,PWF028,,0.8,B,56.476883,-116.41275,Power Line Industry,2023-05-04 19:00,UNIT,0.5,1.0,Surface,20.0,30.0,10.0,M1,Public
2023,LWF128,,0.8,B,55.390567,-111.119017,Oil & Gas Industry,2023-05-20 16:10,HAC,1.0,0.0,Surface,17.0,55.0,9.0,O1a,HAC
2023,HWF029,,0.8,B,58.713833,-118.74505,Incendiary,2023-05-02 10:36,HAC,0.5,1.0,Surface,21.0,23.0,2.0,O1a,HAC
2023,EWF014,,0.79,B,53.157083,-116.952367,Other Industry,2023-04-26 17:00,FPD Staff,1.0,1.0,Surface,8.0,86.0,3.0,C1,HAC
2023,RWF045,,0.75,B,52.764367,-114.943917,Oil & Gas Industry,2023-05-18 20:20,FTAC,0.75,1.0,Surface,16.0,41.0,5.0,O1a,FTAC
2023,PWF123,,0.64,B,56.821283,-116.6461,Lightning,2023-07-23 14:00,Air Tanker,1.0,2.0,Surface,21.0,38.0,10.0,M2,HAC
2023,LWF021,,0.6,B,55.1855,-112.4414,Resident,2023-04-16 19:00,FPD Staff,0.6,5.0,Surface,10.0,38.0,14.0,O1a,Fire Department
2023,HWF021,,0.54,B,58.456717,-116.401833,Resident,2023-04-29 17:00,HAC,0.5,2.0,Surface,19.0,28.0,22.0,M1,HAC
2023,SWF117,,0.5,B,54.9188,-116.469833,Lightning,2023-07-11 14:05,HAC,0.5,2.0,Crown,24.0,64.0,7.0,C2,HAC
2023,HWF163,,0.5,B,58.46375,-114.415583,Incendiary,2023-10-10 15:40,HAC,0.5,1.0,Surface,17.0,48.0,5.0,O1b,HAC
