service_request_id,requested_date,updated_date,closed_date,status_description,service_name,comm_name,address,longitude,latitude
26-00644778,2026-08-24,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,HIDDEN VALLEY,,-114.11960923256338,51.15193708483775
26-00644761,2026-08-24,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,GARRISON GREEN,,-114.12452628199593,51.00305515480977
26-00644752,2026-08-24,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,COLLINGWOOD,,-114.10240362227502,51.08350990629627
26-00644750,2026-08-24,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,PATTERSON,,-114.17714231360132,51.0639398770151
26-00644747,2026-08-24,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,NORTH AIRWAYS,,-114.00753607243156,51.0871396695853
26-00644740,2026-08-24,2026-08-25T00:00:00.000,2026-08-25T00:00:00.000,Closed,Roads - Streetlight Maintenance,HILLHURST,,-114.09364601408991,51.057277532355
26-00644723,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,CANYON MEADOWS,,-114.0820063458848,50.94095720926748
26-00644704,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST HEIGHTS,,-113.96875793277384,51.04924314874295
26-00644104,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,YORKVILLE,,-114.08232478981768,50.87035139693807
26-00643873,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,REDSTONE,,-113.9575028271685,51.17044616888478
26-00643028,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,HUNTINGTON HILLS,,-114.06670855606806,51.11758074861446
26-00642860,2026-08-24,2026-08-24T00:00:00.000,,Duplicate (Open),Roads - Streetlight Maintenance,LIVINGSTON,,-114.06550619776098,51.18553606435354
26-00641275,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,ST. ANDREWS HEIGHTS,,-114.12743730041028,51.06391056003454
26-00641121,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00644630,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Damage,RANCHLANDS,,-114.18364711110482,51.11917908296843
26-00643919,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Damage,DISCOVERY RIDGE,,-114.2177187770391,51.016091532917656
26-00643706,2026-08-24,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Damage,ST. ANDREWS HEIGHTS,,-114.12743730041028,51.06391056003454
26-00641023,2026-08-23,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
26-00641059,2026-08-23,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,COPPERFIELD,,-113.9294857228364,50.91781382350559
26-00641044,2026-08-23,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,SHAWNESSY,,-114.07397621253683,50.90337303234254
26-00641033,2026-08-23,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,DOVER,,-113.99305400906276,51.02256772313628
26-00640269,2026-08-23,2026-08-23T00:00:00.000,2026-08-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,BANKVIEW,,-114.10048318979052,51.03412752814332
26-00641011,2026-08-23,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,PUMP HILL,,-114.10078728035032,50.96682770201055
26-00641008,2026-08-23,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,LIVINGSTON,,-114.06550619776098,51.18553606435354
26-00640264,2026-08-23,2026-08-23T00:00:00.000,2026-08-23T00:00:00.000,Closed,Roads - Streetlight Maintenance,WOODBINE,,-114.1296281640212,50.94023326261844
26-00641036,2026-08-23,2026-08-23T00:00:00.000,2026-08-23T00:00:00.000,Closed,Roads - Streetlight Damage,ST. ANDREWS HEIGHTS,,-114.12743730041028,51.06391056003454
26-00639709,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,SADDLE RIDGE,,-113.94562252266888,51.13057324276626
26-00639738,2026-08-22,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Maintenance,HOMESTEAD,,-113.91650032535892,51.1216297097572
26-00639773,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,TUSCANY,,-114.2408862053562,51.12191108825487
26-00639759,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,WEST SPRINGS,,-114.20668628482738,51.05977296984733
26-00639729,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,TARADALE,,-113.934002077972,51.11794016367547
26-00639723,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,TARADALE,,-113.934002077972,51.11794016367547
26-00638288,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,GLENDALE,,-114.15271889005814,51.03337139240085
26-00639425,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,DOVER,,-113.99305400906276,51.02256772313628
26-00638591,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Damage,SHEPARD INDUSTRIAL,,-113.99278635609627,50.96149445575939
26-00639740,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Damage,ST. ANDREWS HEIGHTS,,-114.12743730041028,51.06391056003454
26-00639670,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Damage,ST. ANDREWS HEIGHTS,,-114.12743730041028,51.06391056003454
26-00638872,2026-08-22,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,VARSITY,,-114.162506759502,51.09605377080581
26-00636693,2026-08-21,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,RENFREW,,-114.03916899334442,51.05965315830899
26-00638213,2026-08-21,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST HEIGHTS,,-113.96875793277384,51.04924314874295
26-00638207,2026-08-21,2026-08-22T00:00:00.000,2026-08-22T00:00:00.000,Closed,Roads - Streetlight Maintenance,HUNTINGTON HILLS,,-114.06670855606806,51.11758074861446
26-00636944,2026-08-21,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,SHAWNESSY,,-114.07397621253683,50.90337303234254
26-00636235,2026-08-21,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,BELTLINE,,-114.0551860888619,51.03743796399198
26-00636565,2026-08-21,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Damage,HORIZON,,-113.99169523733028,51.08990020616713
26-00634968,2026-08-21,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Damage,PINE CREEK,,-114.06786719699797,50.85631703837584
26-00634317,2026-08-20,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,SADDLE RIDGE,,-113.94562252266888,51.13057324276626
26-00632553,2026-08-20,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,BRENTWOOD,,-114.13591917398958,51.09606553683618
26-00631941,2026-08-20,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Damage,EVERGREEN,,-114.11569352503209,50.91870443401208
26-00632952,2026-08-20,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,BOWNESS,,-114.188388474722,51.08334628834888
26-00633518,2026-08-20,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Maintenance,DOVER,,-113.99305400906276,51.02256772313628
26-00634291,2026-08-20,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Damage,WHITEHORN,,-113.97006247520194,51.08877824664194
26-00634797,2026-08-20,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,SILVER SPRINGS,,-114.19626862637182,51.10427448199788
26-00634236,2026-08-20,2026-08-20T00:00:00.000,2026-08-20T00:00:00.000,Closed,Roads - Streetlight Damage,BAYVIEW,,-114.11396431346805,50.97463475641091
26-00634699,2026-08-20,2026-08-24T00:00:00.000,2026-08-24T00:00:00.000,Closed,Roads - Streetlight Damage,COVENTRY HILLS,,-114.05313423182986,51.1649280689084
26-00634794,2026-08-20,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,LAKE BONAVISTA,,-114.0512955606845,50.939598998272274
26-00634586,2026-08-20,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,LAKE BONAVISTA,,-114.0512955606845,50.939598998272274
26-00634433,2026-08-20,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,WEST HILLHURST,,-114.11515850909426,51.05507951426751
26-00634840,2026-08-20,2026-08-21T00:00:00.000,2026-08-21T00:00:00.000,Closed,Roads - Streetlight Maintenance,FOREST LAWN,,-113.9700019179966,51.03784804860796
