readingdate,station_name,parameter,value,units,latitude,longitude
2025-09-15T10:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,20.7,μg/m3,51.030789,-114.008836
2025-09-16T08:00:00.000,Calgary Varsity,Fine Particulate Matter,21.5,μg/m3,51.08272,-114.138994
2025-09-15T18:00:00.000,Calgary Southeast,Fine Particulate Matter,23.1,μg/m3,50.955122,-113.969742
2025-09-15T15:00:00.000,Calgary Southeast,Fine Particulate Matter,23.8,μg/m3,50.955122,-113.969742
2025-09-15T23:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,25.0,μg/m3,51.030789,-114.008836
2025-09-15T23:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-16T12:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-15T01:00:00.000,Calgary Varsity,Fine Particulate Matter,16.3,μg/m3,51.08272,-114.138994
2025-09-15T08:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-15T17:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,26.6,μg/m3,51.030789,-114.008836
2025-09-15T05:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,16.7,μg/m3,51.030789,-114.008836
2025-09-16T00:00:00.000,Calgary Southeast,Fine Particulate Matter,24.7,μg/m3,50.955122,-113.969742
2025-09-16T00:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-15T16:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T11:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,25.4,μg/m3,51.030789,-114.008836
2025-09-15T00:00:00.000,Calgary Varsity,Fine Particulate Matter,15.9,μg/m3,51.08272,-114.138994
2025-09-15T21:00:00.000,Calgary Varsity,Fine Particulate Matter,21.5,μg/m3,51.08272,-114.138994
2025-09-15T03:00:00.000,Calgary Southeast,Fine Particulate Matter,17.3,μg/m3,50.955122,-113.969742
2025-09-16T05:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,24.1,μg/m3,51.030789,-114.008836
2025-09-16T17:00:00.000,Calgary Varsity,Fine Particulate Matter,15.8,μg/m3,51.08272,-114.138994
2025-09-15T15:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T00:00:00.000,Calgary Varsity,Fine Particulate Matter,21.7,μg/m3,51.08272,-114.138994
2025-09-15T06:00:00.000,Calgary Varsity,Fine Particulate Matter,14.2,μg/m3,51.08272,-114.138994
2025-09-16T11:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-09-16T02:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-10-14T14:00:00.000,Calgary Varsity,Fine Particulate Matter,3.8,μg/m3,51.08272,-114.138994
2025-10-14T22:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T16:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T02:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T12:00:00.000,Calgary Southeast,Air Quality Health Index,1.0,,50.955122,-113.969742
2025-10-14T03:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T13:00:00.000,Calgary Southeast,Fine Particulate Matter,4.4,μg/m3,50.955122,-113.969742
2025-10-14T07:00:00.000,Calgary Southeast,Fine Particulate Matter,6.0,μg/m3,50.955122,-113.969742
2025-10-14T18:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T03:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,7.2,μg/m3,51.030789,-114.008836
2025-10-14T06:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T23:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,6.5,μg/m3,51.030789,-114.008836
2025-10-14T18:00:00.000,Calgary Varsity,Fine Particulate Matter,3.6,μg/m3,51.08272,-114.138994
2025-10-14T01:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-10-15T03:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T09:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T19:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T14:00:00.000,Calgary Southeast,Fine Particulate Matter,3.1,μg/m3,50.955122,-113.969742
2025-10-14T07:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T15:00:00.000,Calgary Southeast,Air Quality Health Index,1.0,,50.955122,-113.969742
2025-10-14T22:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T10:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,7.2,μg/m3,51.030789,-114.008836
2025-10-14T00:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,8.5,μg/m3,51.030789,-114.008836
2025-10-15T03:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T11:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,6.0,μg/m3,51.030789,-114.008836
2025-10-15T05:00:00.000,Calgary Varsity,Fine Particulate Matter,5.0,μg/m3,51.08272,-114.138994
2025-10-14T21:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,6.5,μg/m3,51.030789,-114.008836
2025-10-15T02:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,10.2,μg/m3,51.030789,-114.008836
2025-10-14T17:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,4.4,μg/m3,51.030789,-114.008836
2025-10-14T10:00:00.000,Calgary Southeast,Fine Particulate Matter,5.8,μg/m3,50.955122,-113.969742
2025-10-14T23:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T12:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,5.3,μg/m3,51.030789,-114.008836
2025-10-14T04:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T01:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T02:00:00.000,Calgary Varsity,Fine Particulate Matter,5.2,μg/m3,51.08272,-114.138994
2025-10-14T08:00:00.000,Calgary Varsity,Fine Particulate Matter,6.2,μg/m3,51.08272,-114.138994
2025-10-14T16:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-15T04:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T06:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,8.0,μg/m3,51.030789,-114.008836
2025-10-14T06:00:00.000,Calgary Varsity,Fine Particulate Matter,5.0,μg/m3,51.08272,-114.138994
2025-10-14T09:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,8.3,μg/m3,51.030789,-114.008836
2025-10-14T16:00:00.000,Calgary Varsity,Fine Particulate Matter,3.5,μg/m3,51.08272,-114.138994
2025-10-14T02:00:00.000,Calgary Southeast,Fine Particulate Matter,5.3,μg/m3,50.955122,-113.969742
2025-10-14T15:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,4.3,μg/m3,51.030789,-114.008836
2025-10-14T21:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T20:00:00.000,Calgary Varsity,Fine Particulate Matter,4.0,μg/m3,51.08272,-114.138994
2025-10-14T00:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T12:00:00.000,Calgary Central Inglewood,Air Quality Health Index,1.0,,51.030789,-114.008836
2025-10-14T11:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T10:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-15T04:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-15T02:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T22:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,6.3,μg/m3,51.030789,-114.008836
2025-10-14T00:00:00.000,Calgary Southeast,Fine Particulate Matter,6.4,μg/m3,50.955122,-113.969742
2025-10-14T09:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-10-15T04:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,7.6,μg/m3,51.030789,-114.008836
2025-10-15T01:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-10-14T03:00:00.000,Calgary Southeast,Fine Particulate Matter,5.5,μg/m3,50.955122,-113.969742
2025-10-14T11:00:00.000,Calgary Varsity,Fine Particulate Matter,5.3,μg/m3,51.08272,-114.138994
2025-10-14T00:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-14T06:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-10-14T14:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,5.3,μg/m3,51.030789,-114.008836
2025-10-14T19:00:00.000,Calgary Central Inglewood,Air Quality Health Index,2.0,,51.030789,-114.008836
2025-10-15T05:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,6.2,μg/m3,51.030789,-114.008836
