readingdate,station_name,parameter,value,units,latitude,longitude
2025-09-16T13:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T10:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T06:00:00.000,Calgary Southeast,Fine Particulate Matter,22.8,μg/m3,50.955122,-113.969742
2025-09-15T03:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,16.2,μg/m3,51.030789,-114.008836
2025-09-15T06:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T16:00:00.000,Calgary Central Inglewood,Air Quality Health Index,4.0,,51.030789,-114.008836
2025-09-15T15:00:00.000,Calgary Varsity,Fine Particulate Matter,23.4,μg/m3,51.08272,-114.138994
2025-09-16T08:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-09-16T06:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-09-16T12:00:00.000,Calgary Varsity,Fine Particulate Matter,21.2,μg/m3,51.08272,-114.138994
2025-09-16T05:00:00.000,Calgary Southeast,Fine Particulate Matter,22.2,μg/m3,50.955122,-113.969742
2025-09-15T20:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,23.0,μg/m3,51.030789,-114.008836
2025-09-16T01:00:00.000,Calgary Southeast,Fine Particulate Matter,24.8,μg/m3,50.955122,-113.969742
2025-09-15T21:00:00.000,Calgary Southeast,Fine Particulate Matter,23.9,μg/m3,50.955122,-113.969742
2025-09-15T10:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T00:00:00.000,Calgary Southeast,Fine Particulate Matter,17.0,μg/m3,50.955122,-113.969742
2025-09-16T08:00:00.000,Calgary Southeast,Fine Particulate Matter,24.5,μg/m3,50.955122,-113.969742
2025-09-16T13:00:00.000,Calgary Varsity,Fine Particulate Matter,20.6,μg/m3,51.08272,-114.138994
2025-09-15T11:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-16T06:00:00.000,Calgary Varsity,Fine Particulate Matter,20.8,μg/m3,51.08272,-114.138994
2025-09-16T07:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,23.4,μg/m3,51.030789,-114.008836
2025-09-16T03:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T11:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-09-15T06:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T14:00:00.000,Calgary Southeast,Air Quality Health Index,4.0,,50.955122,-113.969742
2025-09-16T18:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T07:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,15.6,μg/m3,51.030789,-114.008836
2025-09-15T16:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T11:00:00.000,Calgary Varsity,Fine Particulate Matter,22.4,μg/m3,51.08272,-114.138994
2025-09-15T17:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T00:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T05:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T11:00:00.000,Calgary Varsity,Fine Particulate Matter,23.1,μg/m3,51.08272,-114.138994
2025-09-16T04:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,26.9,μg/m3,51.030789,-114.008836
2025-09-15T20:00:00.000,Calgary Southeast,Fine Particulate Matter,22.4,μg/m3,50.955122,-113.969742
2025-09-15T13:00:00.000,Calgary Southeast,Fine Particulate Matter,25.6,μg/m3,50.955122,-113.969742
2025-09-16T01:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T14:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T08:00:00.000,Calgary Varsity,Fine Particulate Matter,14.9,μg/m3,51.08272,-114.138994
2025-09-16T12:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,21.4,μg/m3,51.030789,-114.008836
2025-09-15T03:00:00.000,Calgary Varsity,Fine Particulate Matter,16.5,μg/m3,51.08272,-114.138994
2025-09-16T10:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-09-16T02:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,24.0,μg/m3,51.030789,-114.008836
2025-09-15T12:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-16T13:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,21.4,μg/m3,51.030789,-114.008836
2025-09-15T04:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T10:00:00.000,Calgary Varsity,Air Quality Health Index,3.0,,51.08272,-114.138994
2025-09-15T02:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-09-15T12:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,26.1,μg/m3,51.030789,-114.008836
2025-09-15T23:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T13:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,23.8,μg/m3,51.030789,-114.008836
2025-09-16T14:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T01:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T02:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,16.0,μg/m3,51.030789,-114.008836
2025-09-16T08:00:00.000,Calgary Varsity,Air Quality Health Index,2.0,,51.08272,-114.138994
2025-09-16T14:00:00.000,Calgary Southeast,Fine Particulate Matter,19.4,μg/m3,50.955122,-113.969742
2025-09-16T16:00:00.000,Calgary Southeast,Fine Particulate Matter,14.5,μg/m3,50.955122,-113.969742
2025-09-16T13:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T11:00:00.000,Calgary Central Inglewood,Air Quality Health Index,3.0,,51.030789,-114.008836
2025-09-15T03:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T07:00:00.000,Calgary Southeast,Fine Particulate Matter,22.8,μg/m3,50.955122,-113.969742
2025-09-15T22:00:00.000,Calgary Southeast,Fine Particulate Matter,25.3,μg/m3,50.955122,-113.969742
2025-09-16T14:00:00.000,Calgary Varsity,Fine Particulate Matter,18.8,μg/m3,51.08272,-114.138994
2025-09-16T05:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-09-15T09:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,18.5,μg/m3,51.030789,-114.008836
2025-09-16T10:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,27.3,μg/m3,51.030789,-114.008836
2025-09-15T01:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T12:00:00.000,Calgary Southeast,Fine Particulate Matter,26.5,μg/m3,50.955122,-113.969742
2025-09-16T17:00:00.000,Calgary Varsity,Air Quality Health Index,4.0,,51.08272,-114.138994
2025-09-15T16:00:00.000,Calgary Varsity,Fine Particulate Matter,23.5,μg/m3,51.08272,-114.138994
2025-09-16T07:00:00.000,Calgary Southeast,Air Quality Health Index,2.0,,50.955122,-113.969742
2025-09-16T08:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,24.8,μg/m3,51.030789,-114.008836
2025-09-15T20:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-16T15:00:00.000,Calgary Southeast,Air Quality Health Index,3.0,,50.955122,-113.969742
2025-09-15T19:00:00.000,Calgary Central Inglewood,Fine Particulate Matter,21.8,μg/m3,51.030789,-114.008836
2025-09-15T17:00:00.000,Calgary Southeast,Fine Particulate Matter,24.3,μg/m3,50.955122,-113.969742
